40.000000	25.400000
45.000000	27.200000
50.000000	26.500000
55.000000	25.900000
60.000000	24.900000
65.000000	23.100000
70.000000	22.100000
75.000000	20.500000
80.000000	19.000000
85.000000	17.700000
90.000000	16.300000
95.000000	15.300000
100.000000	14.200000
105.000000	13.800000
110.000000	13.200000
115.000000	12.400000
120.000000	12.000000
125.000000	11.300000
130.000000	10.500000
135.000000	10.500000
140.000000	10.100000
145.000000	9.700000
150.000000	9.000000
155.000000	8.800000
160.000000	8.800000
165.000000	8.700000
170.000000	8.700000
175.000000	8.300000
180.000000	7.400000
185.000000	6.500000
190.000000	5.300000
195.000000	5.300000
200.000000	5.600000
