0,3306.45,-8.09,52.67,8.37
1,3292.01,-6.59,54.08,7.85
2,3257.1,-6.57,53.83,7.87
3,3326.24,-6.75,53.64,8.16
4,3357.1,-6.71,53.71,8.0
5,3353.11,-6.78,53.74,8.0
6,3338.28,-6.71,53.63,7.9
7,3347.3,-5.92,54.0,8.51
8,3324.02,-6.86,52.67,8.28
9,3300.75,-6.26,54.09,8.05
10,3288.7,-6.4,53.05,7.98
11,3339.7,-6.56,53.49,8.2
12,3394.44,-6.69,53.55,7.96
13,3372.49,-6.6,53.36,7.99
14,3372.51,-6.7,53.0,7.96
15,3352.64,-6.12,53.47,8.47
16,3357.01,-6.39,53.61,8.21
17,3307.83,-6.37,53.8,8.04
18,3292.56,-6.19,53.76,7.97
19,3354.42,-6.5,53.65,8.16
20,3428.66,-6.02,54.48,7.96
21,3375.11,-6.43,53.75,8.02
22,3392.18,-6.39,53.48,7.93
23,3365.18,-6.14,53.72,8.43
24,3350.73,-6.58,53.22,8.22
25,3314.51,-6.04,54.25,8.0
26,3300.92,-6.13,53.98,7.89
27,3377.23,-5.9,54.33,8.16
28,3406.93,-6.21,53.77,7.94
29,3382.44,-5.79,54.11,8.01
30,3374.64,-6.53,52.76,7.97
31,3349.71,-6.18,53.17,8.48
32,3415.12,-6.39,53.26,8.17
33,3366.09,-5.91,53.79,8.0
34,3341.26,-5.95,53.74,7.91
35,3408.95,-5.91,53.91,8.14
36,3450.42,-6.08,53.95,7.91
37,3427.6,-6.44,53.49,7.99
38,3428.84,-6.43,52.94,7.96
39,3417.14,-4.57,54.62,8.7
40,3419.51,-6.24,53.34,8.17
41,3357.49,-5.97,54.0,7.98
42,3368.07,-5.85,53.91,7.89
43,3423.89,-6.04,54.22,8.07
44,3451.07,-6.24,54.01,7.87
45,3453.44,-6.05,54.24,7.93
46,3446.98,-6.34,53.29,7.93
47,3403.13,-6.0,53.16,8.47
48,3427.78,-6.3,53.39,8.18
49,3378.23,-5.73,54.23,7.94
50,3360.45,-5.69,54.0,7.88
51,3421.17,-6.02,53.78,8.06
52,3451.23,-6.18,53.63,7.86
53,3440.95,-5.97,53.87,7.91
54,3443.94,-6.01,53.34,7.94
55,3409.29,-5.85,53.16,8.49
56,3443.07,-6.34,52.9,8.19
57,3390.76,-6.03,53.61,7.96
58,3379.2,-5.85,53.68,7.85
59,3433.47,-5.97,53.61,8.03
60,3473.86,-6.03,53.94,7.82
61,3452.16,-6.14,53.82,7.86
62,3448.84,-6.15,53.22,7.87
63,3391.12,-5.99,52.85,8.46
64,3494.19,-6.14,52.94,8.24
65,3423.81,-6.22,53.12,8.04
66,3424.23,-5.89,53.79,7.89
67,3496.94,-5.79,54.4,8.05
68,3514.6,-6.16,54.09,7.84
69,3498.09,-6.08,54.03,7.86
70,3506.42,-6.09,53.66,7.82
71,3444.84,-5.83,53.53,8.44
72,3496.87,-6.38,53.2,8.25
73,3437.94,-6.06,53.65,8.05
74,3429.57,-5.94,53.6,7.94
75,3488.12,-5.78,54.28,8.08
76,3518.11,-6.17,54.3,7.83
77,3507.45,-6.16,54.36,7.84
78,3519.6,-6.13,54.1,7.81
79,3456.98,-5.93,53.64,8.43
80,3510.46,-6.34,53.56,8.21
81,3424.56,-6.14,54.07,8.04
82,3435.99,-5.83,54.13,7.94
83,3502.86,-5.74,54.59,8.09
84,3505.64,-6.16,54.4,7.86
85,3485.91,-6.11,54.32,7.86
86,3520.4,-5.67,54.11,7.85
87,3434.71,-5.87,53.72,8.41
88,3512.49,-6.27,53.48,8.19
89,3431.7,-5.95,53.62,8.08
90,3440.67,-5.93,53.52,7.98
91,3482.45,-6.02,54.01,8.12
92,3503.61,-6.09,53.93,7.89
93,3481.64,-6.12,53.85,7.9
94,3520.9,-6.05,53.75,7.85
