0 0 0 0xfab  0xf72  0xf3a  0xf0f  0xf30  0xf0f  0xf4c  0xf3b  0xf40  0xf6f  0xef0  0xf7f  0xfb2  0xfd3  0xfb1  0xf2b  0xf9b  0xfcf  0xfbf  0xfb6  0x1007  0xfd5  0xfd0  0x101e  0xfdd  0xfdb  0x1004  0xff0  0x1008  0xfc8  0x1003  0x1026  0x1017  0x1009  0x101e  0xfb0  0xfef  0xf8d  0x1000  0xff0  0x1074  0xfe3  0x1013  0xfd5  0x1005  0xfc7  0xfb6  0xfbc  0xfb6  0xfc1  0x1024  0xfcb  0xfe7  0xfc1  0xfd0  0xfb1  0xf76  0xfa9  0x1035  0x101a  0x103e  0x104a  0x1099  0x1079  0x1069  0x10a9  0x1094  0x10c6  0x10f8  0x10ec  0x112b  0x10fb  0x10dd  0x10f6  0x10fc  0x111f  0x108f  0x112b  0x10be  0x10e5  0x1099  0x10fb  0x10e2  0x10ce  0x110e  0x10bf  0x1121  0x10df  0x10f2  0x110a  0x10fd  0x1110  0x1114  0x1078  0x10df  0x108b  0x1173  0x1174  0x11af  0x1100  0x1167  0x117b  0x1162  0x1178  0x1149  0x117f  0x1179  0x11b3  0x11ee  0x1186  0x11a1  0x1204  0x11df  0x11b2  0x11ab  0x11f0  0x122b  0x11b5  0x11e4  0x1223  0x1200  0x120d  0x1251  0x12a7  0x1282  0x12c3  0x12da  0x139a
0 0 1 0xfbb  0x1087  0x1072  0x10ac  0x106e  0x1050  0x1039  0x1034  0x1014  0xf96  0xfa0  0xfc5  0xf5a  0xf34  0xf99  0xf57  0xf3e  0xf5b  0xf47  0xf56  0xf1e  0xfbd  0xff8  0xf71  0xf75  0xf8e  0xf58  0xf9c  0xfa4  0xffa  0xf61  0xf7d  0xf75  0xf53  0xf95  0xfa6  0xfd4  0xf5a  0xf8d  0xf54  0xf78  0xfd2  0xfde  0xf74  0xf96  0xf7d  0xfa9  0xff2  0x1028  0xfc5  0xfb8  0xfa2  0xfca  0xfac  0xf97  0xfb2  0xff9  0xfee  0xfad  0x1010  0x1004  0x100e  0x1006  0x1030  0x108f  0x1097  0x10bf  0x1105  0x10f9  0x10f7  0x10ce  0x10ed  0x10f9  0x10c5  0x10fb  0x10e3  0x10ad  0x10af  0x10e2  0x10cd  0x1080  0x1072  0x10d8  0x1059  0x1098  0x1092  0x107b  0x1073  0x1054  0x101b  0x10be  0x1085  0x107c  0x106e  0x1068  0x1073  0x105f  0x1008  0x105e  0x108a  0x1061  0x10bf  0x10b4  0x10a7  0x10dc  0x10a3  0x10ad  0x108b  0x10a7  0x10b0  0x10d5  0x1077  0x1046  0x1080  0x10b6  0x1098  0x1100  0x10d0  0x10e4  0x10ba  0x1100  0x1077  0x114a  0x1109  0x110d  0x1197  0x1189  0x11f8
0 0 2 0xede  0xe39  0xe1f  0xe85  0xe88  0xe47  0xe31  0xe56  0xe15  0xde8  0xdf1  0xe00  0xe28  0xe1c  0xe26  0xe2d  0xe6c  0xe3e  0xe5d  0xe0c  0xe68  0xe76  0xe3b  0xe8c  0xe32  0xe74  0xe34  0xea6  0xdf3  0xe05  0xe92  0xedc  0xeb6  0xe42  0xe89  0xea6  0xedf  0xe81  0xebb  0xec2  0xeae  0xe68  0xe80  0xee0  0xed7  0xef2  0xed7  0xe74  0xecc  0xeaa  0xf3f  0xef8  0xecf  0xea7  0xecb  0xf0f  0xf01  0xf25  0xf36  0xf39  0xee5  0xf74  0xf85  0xf5f  0xf67  0xefb  0xf74  0xf67  0xf82  0xf52  0xf87  0xf56  0xf61  0xf57  0x1007  0xfb0  0xfda  0xf65  0xfc4  0xf77  0xfc6  0xfb0  0xfbc  0xf8c  0xf97  0xfab  0xf7c  0xfcf  0xfc1  0xf46  0xfb1  0xfb6  0xf63  0xf9a  0xf56  0xf58  0xf65  0xfa6  0xf59  0xf50  0xf74  0xf6b  0xf41  0xfc9  0xf69  0xf31  0xf3c  0xf67  0xf49  0xfa5  0xfba  0xf99  0xf78  0xfd8  0xfb0  0x1007  0xfb0  0xf8c  0x101e  0xff4  0x100e  0x1014  0x1095  0x1065  0x1087  0x107a  0x10c4  0x10fe
0 0 3 0x10e0  0x1016  0x1083  0x101a  0xfe5  0xfac  0x1003  0xf68  0xf9d  0xf90  0x1021  0xfa4  0xf9a  0xfa6  0xfba  0xf7d  0x1060  0xfd9  0x1003  0xfb4  0xfcb  0xfcf  0xfe7  0x1015  0xfa7  0xfbe  0xfc7  0xff7  0xff3  0xfb6  0xf55  0xfe5  0xfb0  0xf90  0xfbf  0xf4c  0x1017  0xf64  0xff8  0xfa0  0xf9d  0xfb5  0x1002  0xf4a  0xfac  0xfc5  0xf48  0xfc3  0xfac  0xf88  0xf94  0xf9a  0xffe  0xfb3  0x1000  0xffd  0xfe1  0x107a  0x105a  0x10ca  0x100e  0x1015  0x1014  0x1017  0x10bc  0x102e  0x1086  0x10ba  0x10fd  0x10f8  0x10b6  0x109d  0x1072  0x10ef  0x10e1  0x1140  0x1120  0x10e8  0x10e0  0x110a  0x1112  0x110f  0x110e  0x10b8  0x114f  0x1105  0x1083  0x10a7  0x111a  0x1125  0x111a  0x1123  0x1100  0x114a  0x113b  0x10f7  0x1175  0x1112  0x1141  0x1178  0x1171  0x119a  0x113b  0x111e  0x116d  0x1181  0x11de  0x1151  0x11b8  0x1196  0x11a7  0x11ba  0x11c2  0x11e8  0x11fc  0x11ae  0x1229  0x121a  0x122f  0x1233  0x1280  0x12d4  0x12ac  0x1335  0x1356  0x13b6  0x13f1  0x134a
0 1 0 0x1054  0xff6  0xfe6  0xfa7  0xf71  0xf67  0xf07  0xf62  0xf7d  0xf61  0xfac  0xf79  0xf9b  0xf82  0xf4e  0xf65  0xfac  0xfa1  0xf9d  0xf52  0xfac  0xf68  0xf46  0xf3a  0xf4f  0xf2e  0xf3d  0xf91  0xfaf  0xf11  0xf78  0xf5c  0xfe3  0x101e  0x100b  0x102d  0xff1  0xfe5  0xff5  0x1008  0xfd2  0xfdb  0xfdc  0x1079  0xff2  0xfa7  0x1020  0x1068  0xfcc  0x1036  0xffe  0x10ad  0x1011  0x101c  0x101b  0x104c  0x1015  0xfe4  0x10a5  0x105d  0x105f  0xfd8  0x1075  0x105a  0x10e3  0x1053  0x1056  0x10b8  0x10c8  0x1101  0x10cb  0x10ff  0x1085  0x1112  0x10e5  0x1122  0x110c  0x113f  0x10fe  0x1133  0x1137  0x1158  0x1122  0x1155  0x1131  0x1114  0x1151  0x114b  0x116b  0x119c  0x1165  0x1138  0x1142  0x1180  0x1167  0x10f6  0x1189  0x1145  0x10e2  0x10a7  0x1179  0x111e  0x10da  0x10ad  0x10c4  0x108c  0x1104  0x10d6  0x10dc  0x10c5  0x112b  0x10eb  0x10f7  0x110d  0x1111  0x1117  0x1103  0x115e  0x1126  0x1144  0x114a  0x1186  0x11b9  0x11da  0x11cc  0x1174  0x1205  0x124e
0 1 1 0xef0  0xf81  0xf69  0xf36  0xf46  0xea3  0xeb5  0xdf7  0xe4d  0xe7b  0xe0a  0xe43  0xea1  0xe5a  0xdf4  0xe32  0xe40  0xe60  0xe68  0xe02  0xe21  0xe47  0xe72  0xe83  0xe93  0xeb4  0xe5a  0xe33  0xe7e  0xe77  0xebc  0xeae  0xed4  0xe94  0xe68  0xe9a  0xe58  0xeec  0xeb9  0xef4  0xead  0xf25  0xed2  0xf2b  0xf1c  0xf32  0xf12  0xf7c  0xf73  0xf33  0xfab  0xf86  0xf82  0xfc7  0xf99  0xfa4  0xfec  0xff7  0xff0  0x1036  0x1055  0x1062  0xfde  0x1067  0x101f  0x1077  0x107e  0x107c  0x1097  0x10a2  0x1023  0x101b  0x108a  0x1067  0x1036  0x104c  0x106a  0x1081  0x105d  0x1069  0x1072  0x1067  0x10a1  0x106f  0x107a  0x107c  0x1081  0x10d3  0x1003  0x109e  0x10be  0x10b3  0x105f  0x108a  0x10c4  0x10a9  0x1056  0x10d0  0x10f8  0x1074  0x10e0  0x10e3  0x10d7  0x1144  0x1120  0x10c0  0x10fc  0x111c  0x10f1  0x1175  0x115e  0x1158  0x115e  0x1138  0x1104  0x11b5  0x11ec  0x11e6  0x11d0  0x11cd  0x11bd  0x117a  0x1204  0x120e  0x12b2  0x126f  0x1257  0x133d
0 1 2 0xf9c  0xf59  0xf6e  0xebf  0xe9f  0xec7  0xea2  0xea3  0xe72  0xec3  0xe4b  0xeb0  0xe72  0xe2e  0xe2c  0xe73  0xe42  0xe0a  0xe47  0xea4  0xe80  0xe59  0xe20  0xe6d  0xe70  0xe6b  0xe50  0xe48  0xe55  0xe5f  0xe2e  0xec1  0xe9a  0xe4b  0xe82  0xf05  0xee9  0xed1  0xf0f  0xf16  0xee2  0xe83  0xf7d  0xee4  0xf19  0xea8  0xe86  0xea6  0xe6f  0xf1b  0xf02  0xf0b  0xf28  0xf17  0xe95  0xed7  0xea8  0xf51  0xf37  0xf37  0xf7b  0xf65  0xf6b  0xf59  0xfc6  0x1012  0x1012  0x104d  0xfe2  0x1026  0xfa5  0x105a  0x1053  0x1002  0x10a2  0x1043  0x106e  0x108d  0x10c2  0x1085  0x10a5  0x108a  0x10c9  0x1097  0x10c8  0x1085  0x10d4  0x109a  0x1089  0x10b7  0x10fb  0x109e  0x10a0  0x1128  0x10c2  0x1054  0x10a1  0x106c  0x1106  0x10d2  0x1094  0x10d9  0x1113  0x113b  0x111e  0x10b4  0x115c  0x10fa  0x118c  0x112a  0x1170  0x110f  0x118a  0x1150  0x11d1  0x11c9  0x11b3  0x1159  0x11ef  0x118f  0x11fd  0x11f3  0x1278  0x1275  0x1250  0x1267  0x12ea  0x132a
0 1 3 0x116f  0x10ad  0x10a8  0x10a1  0x1081  0x107a  0x1076  0x10a5  0x1088  0x105c  0x101e  0x1022  0x103d  0x104a  0x1057  0x1021  0x1027  0x1020  0x103e  0x1058  0x1018  0x102f  0x102d  0x107b  0x102d  0x1034  0x107e  0xffc  0x104f  0x1046  0x104b  0x1037  0x1015  0xfe1  0xfff  0x1014  0x1023  0x1039  0x101d  0xf9f  0xffc  0x1024  0x1015  0xff7  0x1086  0x1013  0xfde  0x100e  0x1008  0x1051  0xfee  0xfe1  0x102c  0x105b  0x1036  0x1011  0x105a  0x101a  0x102c  0x1050  0x1004  0x1041  0x1062  0x1076  0x1122  0x1143  0x1105  0x1152  0x1162  0x11a0  0x1189  0x1174  0x119d  0x1139  0x1194  0x11ad  0x1188  0x114c  0x11a1  0x11ae  0x119d  0x118a  0x1177  0x11ab  0x1176  0x117a  0x116f  0x11d4  0x114a  0x119e  0x115c  0x1175  0x1188  0x1142  0x11cc  0x117e  0x1196  0x1195  0x11e6  0x119b  0x1178  0x11cb  0x118a  0x11fb  0x118d  0x11e5  0x11b6  0x11b9  0x1201  0x11e1  0x1206  0x11d2  0x11d3  0x1200  0x1223  0x11cc  0x11e2  0x1234  0x1220  0x1222  0x123b  0x124c  0x126e  0x1331  0x1362  0x1385  0x1408  0x1377
0 2 0 0x1017  0xf70  0xf95  0xf98  0xf56  0xf74  0xf93  0xf1d  0xf56  0xf51  0xf76  0xfb0  0xfbb  0xf12  0xf9e  0xf08  0xf71  0xfd8  0xfb9  0xfa4  0xfb2  0xfbd  0xfb4  0x101b  0xfaa  0xfb5  0xfbd  0xf90  0x1042  0xfcf  0x1016  0x100c  0x1000  0x10c4  0xffb  0x105c  0x1062  0x101a  0x106e  0x10b7  0x1034  0x1048  0x1081  0x1076  0x10e2  0x10d7  0x105d  0x1086  0x1069  0x10b2  0x1067  0x1108  0x10bf  0x1078  0x105f  0x1093  0x105d  0x10f1  0x115c  0x1106  0x10b8  0x10c1  0x1131  0x10d1  0x11c4  0x1129  0x1185  0x11d0  0x1164  0x115f  0x11b9  0x11b1  0x113f  0x112f  0x118f  0x116c  0x1195  0x11a4  0x11f1  0x11d9  0x1169  0x1191  0x121e  0x11da  0x1213  0x11f9  0x11f2  0x120b  0x11ba  0x1203  0x11fc  0x11f3  0x120c  0x11d4  0x1197  0x1240  0x121b  0x11c8  0x11a8  0x11cb  0x1237  0x1221  0x11dc  0x1217  0x1226  0x125b  0x1262  0x1231  0x1243  0x1264  0x12b5  0x12d3  0x1264  0x12c7  0x1274  0x1289  0x1259  0x1291  0x12f6  0x127f  0x1273  0x1303  0x12fd  0x1375  0x135a  0x1334  0x1371  0x139a
0 2 1 0x104c  0xf5a  0xf36  0xf77  0x1211  0x1152  0x1084  0x1058  0x1048  0x1007  0xfda  0xf95  0xf91  0xfaf  0xfd4  0xfbb  0x1010  0xfa4  0xfd5  0xfc0  0xfc8  0xfc8  0xfa9  0xf91  0xf34  0xf7e  0xfb5  0xfc8  0xff6  0xf4b  0xf54  0xf04  0xf54  0xf77  0xfc2  0xf24  0xf93  0xf2b  0xf2c  0xee2  0xf28  0xf8c  0xf86  0xf9b  0xf80  0xf56  0xf9b  0xf16  0xf96  0xfd1  0xf3c  0xf6d  0xffd  0xf61  0xfcb  0xf9a  0xfe1  0xfc3  0x1016  0x1002  0xfe9  0x101b  0xff8  0x103a  0x1034  0x1047  0x102f  0x1075  0x106f  0x106f  0x1061  0x10bb  0x1080  0x108c  0x10e8  0x1076  0x1074  0x10c8  0x10b8  0x1083  0x107b  0x1016  0x1055  0x1036  0x106d  0x105d  0x107c  0x1079  0x1029  0x1019  0x1024  0x1046  0x101b  0x1005  0xfeb  0x100b  0xffc  0x100b  0x107b  0x100e  0xfb1  0x102b  0x1004  0x1017  0x1014  0x1064  0xfa2  0x1040  0x1011  0x1047  0x103d  0x104d  0x1057  0x107d  0x10a3  0x1050  0x1088  0x109b  0x10d3  0x106e  0x10ca  0x10cb  0x1118  0x10f5  0x1146  0x10fd  0x11ae  0x1229
